country,year_month,currency_from,currency_to,local_units_per_eur
AR,2025-01,ARS,EUR,1176.8699
AR,2025-02,ARS,EUR,1205.0466
AR,2025-03,ARS,EUR,1218.4736
AR,2025-04,ARS,EUR,1213.5532
AR,2025-05,ARS,EUR,1191.6038
AR,2025-06,ARS,EUR,1158.5066
AR,2025-07,ARS,EUR,1123.1301
AR,2025-08,ARS,EUR,1094.9534
AR,2025-09,ARS,EUR,1081.5264
AR,2025-10,ARS,EUR,1086.4468
AR,2025-11,ARS,EUR,1108.3962
AR,2025-12,ARS,EUR,1141.4934
MX,2025-01,MXN,EUR,19.3154
MX,2025-02,MXN,EUR,18.7625
MX,2025-03,MXN,EUR,18.4072
MX,2025-04,MXN,EUR,18.3446
MX,2025-05,MXN,EUR,18.5917
MX,2025-06,MXN,EUR,19.0822
MX,2025-07,MXN,EUR,19.6846
MX,2025-08,MXN,EUR,20.2375
MX,2025-09,MXN,EUR,20.5928
MX,2025-10,MXN,EUR,20.6554
MX,2025-11,MXN,EUR,20.4083
MX,2025-12,MXN,EUR,19.9178
PE,2025-01,PEN,EUR,3.8661
PE,2025-02,PEN,EUR,3.8113
PE,2025-03,PEN,EUR,3.8205
PE,2025-04,PEN,EUR,3.8912
PE,2025-05,PEN,EUR,4.0044
PE,2025-06,PEN,EUR,4.1298
PE,2025-07,PEN,EUR,4.2339
PE,2025-08,PEN,EUR,4.2887
PE,2025-09,PEN,EUR,4.2795
PE,2025-10,PEN,EUR,4.2088
PE,2025-11,PEN,EUR,4.0956
PE,2025-12,PEN,EUR,3.9702
CO,2025-01,COP,EUR,4512.8283
CO,2025-02,COP,EUR,4378.3746
CO,2025-03,COP,EUR,4249.7155
CO,2025-04,COP,EUR,4161.325
CO,2025-05,COP,EUR,4136.8872
CO,2025-06,COP,EUR,4182.9503
CO,2025-07,COP,EUR,4287.1717
CO,2025-08,COP,EUR,4421.6254
CO,2025-09,COP,EUR,4550.2845
CO,2025-10,COP,EUR,4638.675
CO,2025-11,COP,EUR,4663.1128
CO,2025-12,COP,EUR,4617.0497
CL,2025-01,CLP,EUR,1075.649
CL,2025-02,CLP,EUR,1055.4594
CL,2025-03,CLP,EUR,1025.7684
CL,2025-04,CLP,EUR,994.5318
CL,2025-05,CLP,EUR,970.1194
CL,2025-06,CLP,EUR,959.0725
CL,2025-07,CLP,EUR,964.351
CL,2025-08,CLP,EUR,984.5406
CL,2025-09,CLP,EUR,1014.2316
CL,2025-10,CLP,EUR,1045.4682
CL,2025-11,CLP,EUR,1069.8806
CL,2025-12,CLP,EUR,1080.9275
BR,2025-01,BRL,EUR,6.5315
BR,2025-02,BRL,EUR,6.5715
BR,2025-03,BRL,EUR,6.5119
BR,2025-04,BRL,EUR,6.3687
BR,2025-05,BRL,EUR,6.1804
BR,2025-06,BRL,EUR,5.9973
BR,2025-07,BRL,EUR,5.8685
BR,2025-08,BRL,EUR,5.8285
BR,2025-09,BRL,EUR,5.8881
BR,2025-10,BRL,EUR,6.0313
BR,2025-11,BRL,EUR,6.2196
BR,2025-12,BRL,EUR,6.4027
